STUDENTID,V1,VH098810,VH098519,VH098808,VH139047,VH098759,VH098740,VH134366,VH098753,VH134387,VH098783,BlockRev,VH098812,VH139196,VH134373,VH098839,VH098597,VH098556,VH098522,VH098779,VH098834,Average,Total,Label
2333016541,16,20,47,79,262,190,28,102,111,128,63,,87,87,319,225,,,,,,117.60,29.40,TRUE
2333016797,10,47,38,126,103,123,66,560,68,34,112,25,77,57,83,38,38,24,30,22,23,81.14,28.40,FALSE
2333017157,10,14,38,36,47,89,102,110,299,105,61,8,45,51,244,102,43,26,154,31,48,79.19,27.72,FALSE
2333017327,10,21,119,36,141,30,62,152,49,82,20,11,51,83,57,27,54,23,44,28,26,53.62,18.77,TRUE
2333017424,13,74,52,128,44,114,59,144,74,178,111,7,43,141,116,71,66,26,78,38,53,77.62,27.17,TRUE
2333017483,18,75,123,154,136,41,43,191,73,121,48,33,58,81,78,64,35,47,162,45,43,79.48,27.82,TRUE
2333017831,6,78,102,90,118,55,25,119,26,56,41,389,58,50,17,25,86,7,60,9,22,68.52,23.98,FALSE
2333018331,9,21,50,75,57,85,13,111,73,81,53,11,110,87,22,55,17,30,107,20,37,53.52,18.73,FALSE
2333018676,14,21,36,84,198,50,55,292,44,35,154,,87,156,65,127,136,10,23,33,122,87.10,29.03,FALSE
2333019036,9,16,33,33,95,138,42,76,241,38,184,5,70,49,160,131,64,25,142,14,35,76.19,26.67,TRUE
2333019711,14,46,135,73,65,72,27,88,147,41,117,,156,150,70,41,184,19,55,52,112,83.20,27.73,FALSE
2333019788,5,20,11,68,193,120,54,114,136,79,29,6,7,32,28,35,3,2,4,2,6,45.43,15.90,FALSE
2333020280,5,27,50,60,236,101,28,123,122,22,83,21,54,49,18,69,32,35,26,18,90,60.43,21.15,TRUE
2333020476,7,13,48,67,75,82,30,103,58,144,33,7,42,95,155,76,24,19,64,59,63,60.19,21.07,TRUE
2333020905,8,39,170,64,59,134,65,78,67,58,52,12,51,36,113,34,29,22,44,35,50,58.10,20.33,TRUE
2333021014,15,57,66,150,450,29,4,96,151,47,134,,63,41,146,128,33,12,,7,15,86.53,27.40,TRUE
2333021235,4,32,169,74,145,63,41,163,326,19,58,9,51,80,102,81,75,24,51,45,75,80.33,28.12,TRUE
2333021260,11,49,65,49,71,203,41,127,90,93,47,8,46,209,138,138,36,29,51,15,87,76.33,26.72,TRUE
2333021316,10,25,45,34,187,95,45,155,116,63,48,6,61,78,52,68,64,24,45,16,78,62.62,21.92,FALSE
2333021413,8,13,48,54,143,144,98,95,65,131,63,9,53,86,124,31,15,13,21,30,16,60.00,21.00,FALSE
2333021766,10,13,31,12,12,90,22,84,21,26,28,4,46,52,26,51,27,25,48,18,30,32.19,11.27,FALSE
2333021928,16,30,68,54,123,201,41,237,182,77,23,8,13,70,295,48,31,12,2,61,1,75.86,26.55,TRUE
2333022088,5,13,49,68,88,199,30,126,94,65,35,7,92,216,118,52,65,22,121,23,30,72.29,25.30,TRUE
2333022100,4,25,75,35,103,180,57,152,56,58,68,32,65,60,58,78,75,20,52,60,49,64.86,22.70,TRUE
2333023378,16,25,131,64,98,74,38,130,115,23,65,6,181,367,195,43,17,15,32,14,45,80.67,28.23,TRUE
2333023548,8,14,48,102,243,191,29,108,20,29,118,4,43,78,147,40,33,7,210,18,106,76.00,26.60,FALSE
2333023769,11,16,29,42,56,95,40,87,65,118,50,3,51,74,137,47,36,53,32,58,105,57.38,20.08,TRUE
2333023955,6,14,65,97,53,74,62,141,155,33,68,6,99,92,55,50,78,19,42,30,41,60.95,21.33,TRUE
2333024218,4,15,27,92,213,94,53,345,129,92,119,,43,142,86,42,71,9,51,10,46,84.15,28.05,TRUE
2333024498,10,11,75,91,375,85,43,95,87,39,92,19,48,110,94,44,29,25,172,61,18,77.29,27.05,FALSE
2333024901,11,39,207,108,86,116,53,167,77,140,65,46,48,74,94,74,43,55,70,28,12,76.81,26.88,TRUE
2333024994,4,43,81,27,108,85,73,79,111,62,103,2,39,101,146,64,35,74,25,92,52,66.95,23.43,TRUE
2333025761,5,20,119,58,106,37,49,177,71,88,68,6,132,294,139,107,30,29,67,47,37,80.29,28.10,TRUE
2333026181,5,11,29,43,53,55,127,48,45,113,34,6,86,71,57,47,51,23,35,17,31,47.00,16.45,FALSE
2333026440,12,24,103,265,46,55,33,160,206,110,256,,53,34,106,,,,,,,104.50,24.38,TRUE
2333026512,7,23,34,54,45,77,42,95,56,79,25,6,39,62,54,85,29,10,15,12,51,42.86,15.00,FALSE
2333026695,13,15,44,102,135,94,41,80,45,50,143,10,57,69,113,41,55,42,23,37,35,59.24,20.73,FALSE
2333027047,9,17,73,56,249,35,23,115,22,27,83,10,24,66,53,35,54,25,37,11,64,51.81,18.13,FALSE
2333027632,5,14,36,40,73,70,37,60,41,48,63,2,41,30,38,89,27,8,8,8,37,36.90,12.92,FALSE
2333028558,6,14,113,179,115,140,43,87,127,53,60,,87,112,104,295,35,33,49,30,79,88.05,29.35,FALSE
2333028655,14,22,46,70,43,74,83,574,29,26,31,3,131,126,150,47,10,37,8,27,68,77.10,26.98,TRUE
2333028752,14,13,111,35,44,69,48,195,154,71,53,11,70,77,77,59,26,107,43,36,96,67.10,23.48,TRUE
2333028841,7,61,59,44,240,148,29,315,206,143,134,,43,96,128,107,8,,,,,110.50,29.47,FALSE
2333028931,10,52,169,425,172,78,47,157,110,95,184,,,,,,,,,,,136.27,24.98,FALSE
2333029261,1,63,198,44,303,71,47,85,67,34,125,,172,218,142,98,,,,,,111.20,27.80,TRUE
2333029341,4,32,185,44,290,356,135,251,80,51,77,,47,48,68,30,17,14,,9,14,92.21,29.20,FALSE
2333029350,6,55,173,51,140,130,30,131,82,39,202,,193,143,157,71,58,84,,,,102.65,29.08,FALSE
2333029759,20,49,85,99,247,201,91,112,26,39,86,20,45,90,87,42,26,11,46,21,28,70.05,24.52,TRUE
2333029953,18,54,135,126,253,73,120,231,50,77,160,,163,93,70,84,20,,,,,107.94,28.78,FALSE
2333031389,9,15,62,232,372,237,17,290,102,49,140,,59,77,34,,,,,,,121.07,28.25,TRUE
2333031630,4,19,41,10,44,51,46,80,75,53,428,4,52,107,160,49,35,49,77,23,66,70.14,24.55,TRUE
2333031729,9,48,86,123,163,182,55,356,133,142,57,,80,218,58,,,,,,,122.14,28.50,FALSE
2333032644,4,24,190,38,142,235,34,70,168,40,33,4,61,106,124,47,54,35,50,35,13,71.76,25.12,TRUE
2333032911,32,33,60,176,219,35,52,90,18,73,159,25,95,194,217,64,29,12,46,20,85,82.57,28.90,TRUE
2333032997,4,19,43,378,102,120,8,329,142,25,125,4,50,60,151,31,36,18,18,15,2,80.00,28.00,FALSE
2333033276,20,35,73,44,389,42,53,92,30,89,37,20,66,100,44,31,6,43,23,32,34,62.05,21.72,FALSE
2333033420,5,15,41,93,137,282,36,243,105,22,58,5,33,106,54,85,34,91,75,25,31,75.05,26.27,FALSE
2333033519,13,13,47,57,282,215,77,80,70,65,102,10,66,182,131,51,36,14,65,16,66,78.95,27.63,TRUE
2333033675,10,28,27,100,123,257,65,121,178,183,88,,111,103,119,55,19,29,30,32,80,87.90,29.30,TRUE
2333033861,6,22,46,143,85,70,52,200,117,72,118,3,240,209,88,68,41,23,28,28,43,81.05,28.37,TRUE
2333034027,12,25,106,4,358,11,103,170,29,30,3,1,3,9,4,2,2,3,2,10,1,42.29,14.80,FALSE
2333034116,7,13,52,53,49,82,73,52,44,13,37,2,87,19,35,35,30,17,48,16,53,38.90,13.62,TRUE
2333034361,15,38,71,146,656,82,37,147,56,23,72,,63,67,122,,,,,,,113.93,26.58,TRUE
2333034523,4,15,15,20,76,56,102,208,55,44,102,12,37,213,69,19,90,65,188,11,82,70.62,24.72,FALSE
2333034817,8,19,139,40,249,88,17,115,152,35,68,5,50,67,108,42,4,,,,,70.94,20.10,FALSE
2333034965,18,31,97,199,91,145,45,302,238,88,232,,,,,,,,,,,135.09,24.77,FALSE
2333035058,8,21,58,75,360,231,24,78,88,20,27,5,108,211,69,48,43,42,43,50,41,78.57,27.50,FALSE
2333035309,15,39,89,75,210,57,58,185,33,28,114,3,85,260,48,58,33,3,27,19,94,73.00,25.55,TRUE
2333035635,14,21,168,225,258,201,139,132,279,54,145,,48,,,,,,,,,140.33,28.07,TRUE
2333036071,8,13,35,54,51,71,151,221,252,45,65,5,51,34,159,65,25,32,90,8,59,71.14,24.90,TRUE
2333036224,3,32,97,26,70,100,40,233,71,46,96,6,53,72,76,65,42,23,15,13,42,58.14,20.35,TRUE
2333036321,14,17,51,93,161,214,25,151,109,19,102,6,62,51,117,54,57,24,27,26,55,68.33,23.92,TRUE
2333036488,14,112,84,101,195,144,76,215,46,32,38,22,48,52,14,19,22,23,203,39,22,72.43,25.35,TRUE
2333037174,13,23,139,38,163,128,53,131,101,19,136,,103,28,16,78,168,19,138,66,70,81.50,27.17,TRUE
2333037328,24,12,26,65,146,70,84,218,34,142,95,161,47,119,65,70,17,10,43,110,28,75.52,26.43,FALSE
2333037352,9,25,43,69,120,168,51,93,80,55,96,3,146,59,46,54,49,17,56,15,44,61.81,21.63,TRUE
2333037514,18,65,228,252,154,152,79,169,125,100,124,,99,93,118,,,,,,,126.86,29.60,TRUE
2333037611,17,20,191,78,60,63,62,193,86,152,366,,65,96,64,85,63,34,,49,,96.89,29.07,TRUE
2333037859,4,26,33,71,91,169,39,168,99,13,76,5,131,61,89,20,4,3,7,13,4,53.62,18.77,FALSE
2333037867,11,39,68,121,480,257,43,261,82,228,86,,42,56,,,,,,,,136.46,29.57,FALSE
2333038022,7,16,61,61,181,44,99,62,32,39,53,5,3,99,73,35,51,14,53,14,3,47.86,16.75,FALSE
2333038707,10,42,190,46,177,45,58,225,94,43,201,9,75,72,106,116,73,33,21,21,70,82.24,28.78,TRUE
2333039118,7,27,86,86,220,107,24,133,229,88,228,,94,84,292,59,7,,,,,110.69,29.52,TRUE
2333039304,5,23,152,108,45,180,47,209,158,60,174,,84,118,105,63,,,,,,102.07,25.52,TRUE
2333039398,6,22,52,51,27,83,103,128,212,53,105,3,38,103,102,42,68,14,27,23,89,64.33,22.52,TRUE
2333039967,12,20,69,91,110,154,67,78,19,72,40,9,42,38,70,104,58,23,17,33,36,55.33,19.37,FALSE
2333042283,20,28,106,318,284,213,50,87,169,106,70,,141,111,12,,,,,,,122.50,28.58,FALSE
2333042542,16,18,66,51,142,103,42,128,53,118,114,33,81,89,86,85,37,37,61,24,70,69.24,24.23,TRUE
2333042631,5,34,44,107,97,93,34,88,83,88,121,13,123,78,28,55,29,20,74,31,41,61.24,21.43,FALSE
2333042704,9,19,35,40,24,102,45,103,53,57,55,8,37,41,73,74,50,23,26,21,44,44.71,15.65,FALSE
2333043051,19,44,73,90,216,150,182,204,105,57,41,17,27,94,137,43,41,15,22,31,32,78.10,27.33,TRUE
2333043298,26,32,32,80,88,375,76,287,82,130,241,,96,51,34,48,4,6,,11,5,89.68,28.40,FALSE
2333043441,12,28,47,80,65,69,74,113,8,152,107,4,29,87,63,54,36,6,67,13,185,61.86,21.65,FALSE
2333043638,10,21,72,60,66,237,55,220,301,205,256,,96,94,49,,,,,,,124.43,29.03,FALSE
2333043999,11,46,268,50,290,142,96,137,74,82,61,,141,129,144,45,,,,,,114.40,28.60,FALSE
2333044588,5,56,87,76,72,71,17,143,32,43,104,7,39,39,122,29,23,31,54,20,55,53.57,18.75,TRUE
2333044677,13,17,91,31,32,29,56,231,10,41,34,153,81,80,78,40,75,5,317,181,6,76.24,26.68,FALSE
2333045029,12,34,98,68,221,150,52,421,131,106,48,,141,148,113,,,,,,,124.50,29.05,FALSE
2333045681,7,26,45,103,100,104,44,76,191,85,48,4,83,143,74,97,34,58,59,18,45,68.76,24.07,FALSE
2333045789,12,23,107,34,113,237,43,100,20,38,68,,130,147,89,76,33,36,,29,311,86.63,27.43,TRUE
2333045975,22,19,67,27,61,298,37,168,122,110,56,9,70,182,173,74,45,19,57,24,59,80.90,28.32,TRUE
2333046190,21,34,47,147,88,91,63,60,109,204,62,,64,144,88,135,30,28,211,15,75,85.80,28.60,TRUE
2333046441,13,15,79,139,74,148,54,161,124,88,120,5,111,72,142,130,74,21,58,21,63,81.52,28.53,TRUE
2333046530,3,21,47,59,8,24,23,74,57,33,48,7,62,36,30,39,50,26,67,26,61,38.14,13.35,FALSE
2333046637,12,19,120,58,74,120,77,89,123,102,100,17,58,95,107,102,37,50,90,17,74,73.38,25.68,TRUE
2333047471,16,28,94,171,142,214,54,101,107,60,46,53,103,66,152,73,46,72,36,22,24,80.00,28.00,FALSE
2333047668,32,50,75,392,220,98,59,75,206,98,216,,48,165,14,,,,,,,124.86,29.13,FALSE
2333048079,10,19,45,39,164,60,43,160,99,149,36,2,37,57,66,49,50,21,47,16,45,57.81,20.23,FALSE
2333048761,5,9,47,14,13,2,1,31,8,35,2,2,8,2,4,1,3,1,3,,4,9.75,3.25,FALSE
2333049172,16,29,63,76,171,134,115,164,104,115,160,28,51,125,124,60,45,33,36,36,36,81.95,28.68,TRUE
2333049211,6,15,72,49,132,261,73,120,315,39,35,7,58,75,65,58,41,49,34,45,72,77.19,27.02,TRUE
2333050308,9,11,76,78,100,107,35,66,63,99,40,16,48,42,88,103,28,44,21,28,85,56.52,19.78,TRUE
2333050405,10,49,69,155,119,89,41,234,121,107,60,18,61,111,100,57,74,18,47,26,83,78.52,27.48,TRUE
2333050626,17,28,83,140,123,334,291,126,193,85,129,,86,,,,,,,,,136.25,27.25,FALSE
2333050961,8,32,62,54,148,177,57,94,11,77,166,10,65,55,58,76,71,15,18,14,31,61.86,21.65,TRUE
2333051568,9,21,60,69,154,98,75,110,135,113,42,4,72,80,63,114,29,28,126,35,55,71.05,24.87,TRUE
2333052599,10,32,94,65,148,58,106,92,35,90,71,2,197,244,264,64,93,22,22,19,10,82.76,28.97,FALSE
2333052670,15,16,96,223,243,185,44,136,50,31,53,5,47,48,56,79,81,8,84,6,8,72.10,25.23,FALSE
2333052751,7,41,110,108,352,130,71,240,70,22,131,,60,48,49,96,91,50,,42,20,91.47,28.97,TRUE
2333053102,4,44,77,230,86,265,51,123,163,118,127,,68,305,30,63,,,,,,116.93,29.23,TRUE
2333053269,13,26,32,62,81,146,38,82,81,23,48,5,88,50,83,105,32,20,46,22,59,54.38,19.03,TRUE
2333053617,6,23,28,96,553,109,36,217,161,51,273,,59,74,5,42,,,,,,115.53,28.88,FALSE
2333053790,9,24,60,63,170,83,37,192,61,42,77,8,18,57,45,50,38,10,245,11,31,63.38,22.18,FALSE
2333054206,9,20,52,33,77,113,107,88,116,42,74,9,53,57,116,103,33,33,36,14,39,58.29,20.40,TRUE
2333054362,10,18,152,71,216,240,53,182,51,57,34,,126,96,99,130,26,45,67,28,56,87.85,29.28,TRUE
2333054494,12,15,43,54,82,75,75,81,113,105,74,11,87,37,144,112,68,241,60,24,45,74.19,25.97,FALSE
2333054559,8,23,87,73,168,38,44,127,124,86,102,24,59,137,173,57,37,33,34,20,38,71.05,24.87,TRUE
2333054711,14,25,24,45,269,229,39,218,99,65,110,7,34,105,44,67,23,37,17,21,26,72.29,25.30,TRUE
2333055067,8,18,40,175,88,110,43,79,87,100,39,12,142,80,52,59,80,25,42,54,56,66.14,23.15,TRUE
2333055091,22,32,70,127,90,188,42,139,66,78,54,16,94,59,87,63,47,34,62,20,126,72.19,25.27,TRUE
2333055318,6,38,55,59,151,56,111,228,83,98,77,11,111,86,340,47,9,19,41,17,37,80.00,28.00,TRUE
2333055393,16,41,55,45,346,77,61,465,133,194,88,,77,95,52,,,,,,,124.64,29.08,FALSE
2333055580,7,36,21,41,53,84,41,28,119,37,38,2,41,25,40,32,20,17,9,10,14,34.05,11.92,FALSE
2333055652,8,23,66,89,63,83,53,70,82,17,43,1,32,70,115,60,27,12,21,28,89,50.10,17.53,TRUE
2333055695,12,18,56,70,53,303,46,131,113,42,120,,77,54,130,140,69,20,125,48,114,87.05,29.02,FALSE
2333055741,12,23,50,118,75,303,109,141,108,75,54,,196,39,62,93,62,48,3,29,54,82.70,27.57,FALSE
2333056683,16,67,67,267,85,178,60,270,140,97,64,,66,145,125,52,36,2,,,,102.18,28.95,FALSE
2333056845,4,34,52,102,137,40,27,257,63,21,69,2,13,86,128,29,24,4,3,13,11,53.29,18.65,FALSE
2333056853,5,44,69,122,98,102,60,91,176,101,79,125,59,60,51,26,41,45,43,28,48,70.14,24.55,FALSE
2333056861,14,14,58,53,72,17,53,69,6,74,67,27,1,81,11,35,22,33,20,65,21,38.71,13.55,FALSE
2333056942,15,43,99,222,463,273,84,268,60,182,,,,,,,,,,,,170.90,28.48,TRUE
2333056951,6,24,79,90,91,106,36,138,131,186,116,,43,226,65,6,,,,,,89.53,22.38,FALSE
2333057108,9,23,47,54,41,115,47,201,229,140,87,17,93,38,147,63,89,47,51,59,75,79.62,27.87,TRUE
2333057132,6,13,121,152,339,93,74,123,80,101,39,,66,68,87,45,19,30,,19,10,78.16,24.75,TRUE
2333057191,6,9,34,43,79,94,18,44,52,31,36,7,60,39,132,34,90,47,35,45,138,51.10,17.88,FALSE
2333057451,6,14,54,53,113,56,68,101,15,47,72,7,79,108,46,64,26,45,36,18,48,51.24,17.93,FALSE
2333057469,9,57,78,192,132,98,72,179,158,91,217,,77,92,69,161,35,,,,,107.31,28.62,FALSE
2333057493,14,20,59,71,83,59,37,108,52,40,73,3,101,89,93,61,64,40,39,20,19,54.52,19.08,FALSE
2333057701,9,16,96,48,144,83,41,176,122,56,80,4,73,69,150,52,30,27,22,14,67,65.67,22.98,TRUE
2333057710,10,13,112,26,95,157,38,148,122,180,98,12,85,107,140,90,40,38,39,36,75,79.10,27.68,TRUE
2333057736,9,29,41,63,52,70,55,120,63,45,65,8,89,114,99,124,36,46,174,46,59,67.00,23.45,TRUE
2333058040,9,27,52,80,407,149,36,212,92,41,32,11,73,70,31,25,28,19,169,30,109,81.05,28.37,TRUE
2333058082,,32,46,50,84,53,32,99,61,73,47,6,24,56,81,71,28,16,35,19,44,47.85,15.95,FALSE
2333058201,17,24,43,97,123,99,100,109,138,206,135,10,61,62,73,88,39,19,62,29,69,76.33,26.72,TRUE
2333058295,16,39,54,38,68,133,75,87,99,56,71,56,29,102,74,61,20,25,19,65,100,61.29,21.45,TRUE
2333058392,2,24,59,23,145,52,76,120,13,19,163,71,71,45,29,57,177,318,2,2,9,70.33,24.62,FALSE
2333058554,10,11,26,55,49,299,38,247,173,91,59,13,36,77,139,72,56,25,112,81,42,81.48,28.52,TRUE
2333058562,12,30,72,38,181,132,58,377,73,31,10,28,44,113,67,30,30,92,24,46,24,72.00,25.20,TRUE
2333058589,13,31,81,90,63,134,85,137,60,221,166,7,71,118,99,36,62,19,130,32,89,83.05,29.07,TRUE
2333058821,9,27,33,33,53,159,60,120,218,166,46,7,48,209,153,54,44,20,38,28,34,74.24,25.98,TRUE
2333059232,6,22,48,42,47,95,76,106,63,141,190,6,65,48,91,138,39,114,131,26,103,76.05,26.62,FALSE
2333059321,16,22,100,88,449,94,46,393,109,100,72,,64,203,5,,,,,,,125.79,29.35,FALSE
2333059488,4,72,114,101,224,295,103,124,181,320,141,,,,,,,,,,,152.64,27.98,FALSE
2333059640,6,33,36,34,540,226,127,128,142,223,131,,50,35,,,,2,,,,122.36,28.55,TRUE
2333059925,12,30,61,246,165,229,60,93,34,54,89,8,56,62,90,137,35,67,19,92,11,78.57,27.50,TRUE
2333060176,15,43,68,34,231,134,112,42,117,65,403,,179,55,115,79,47,,,,,108.69,28.98,FALSE
2333060729,10,31,62,83,47,141,94,62,177,48,136,35,52,48,88,193,47,26,36,33,28,70.33,24.62,TRUE
2333061181,11,18,64,101,226,100,49,333,69,135,113,,118,98,125,77,47,68,6,5,,92.79,29.38,TRUE
2333061296,2,16,131,292,186,70,56,291,225,90,140,,93,119,18,6,,,,,,115.67,28.92,FALSE
2333062829,20,55,39,125,328,106,98,222,178,70,44,,201,189,4,82,,,11,,,110.75,29.53,FALSE
2333063124,4,19,31,34,30,109,35,96,113,105,51,1,88,80,120,100,34,40,11,17,159,60.81,21.28,TRUE
2333063574,9,24,45,58,41,93,55,111,136,57,79,20,72,58,130,71,32,12,23,77,167,65.24,22.83,FALSE
2333064422,8,17,72,70,55,68,34,188,191,22,204,11,105,53,79,81,63,19,101,26,77,73.52,25.73,FALSE
2333064953,10,19,51,31,52,117,30,84,65,42,55,10,56,61,120,86,54,62,101,62,41,57.57,20.15,TRUE
2333065364,7,18,229,89,69,24,28,75,74,65,118,3,178,16,362,66,89,30,95,20,71,82.19,28.77,FALSE
2333065950,9,17,107,166,173,271,74,150,65,70,141,,177,65,223,34,,,,,,116.13,29.03,TRUE
2333066999,14,73,94,169,201,74,57,113,153,77,67,7,60,142,16,84,92,18,16,2,8,73.19,25.62,FALSE
2333067073,13,31,86,78,116,109,54,112,82,18,111,10,47,65,56,123,193,24,33,40,51,69.14,24.20,TRUE
2333067154,,13,105,46,126,128,36,227,35,25,37,12,74,53,264,92,85,27,30,59,40,75.70,25.23,TRUE
2333067502,7,42,156,169,77,151,46,168,74,214,315,2,69,152,19,4,2,2,8,,1,83.90,27.97,FALSE
2333067669,12,21,26,153,68,175,72,94,15,13,50,6,101,111,55,90,72,50,61,25,87,64.62,22.62,TRUE
2333068266,5,21,58,75,85,146,22,123,60,22,47,2,47,121,110,14,48,14,31,48,30,53.76,18.82,FALSE
2333068291,7,14,132,48,67,183,27,183,58,51,47,10,82,74,245,36,40,16,85,36,33,70.19,24.57,FALSE
2333068967,6,23,59,50,155,35,28,46,9,20,6,2,4,64,47,32,47,25,3,2,2,31.67,11.08,FALSE
2333069467,17,20,70,92,245,85,69,141,117,39,337,10,39,56,130,45,75,17,20,28,63,81.67,28.58,TRUE
2333069645,7,16,45,163,291,140,28,134,33,6,67,2,103,74,150,184,32,33,26,31,70,77.86,27.25,TRUE
2333069904,8,34,102,142,78,259,57,105,205,,,,,,36,70,62,46,307,80,151,108.88,29.03,FALSE
